PLACA;MARCA;MODELO;UNIDADE;PROPRIETARIO;RESPONSAVEL;GERENTE;CNPJ PROPRIETARIO;TIPO PROPRIETARIO;SEGURO STATUS
BWH-3157;M.BENZ;M.BENZ / LA 1113;PRI PONTA GROSSA GARAGEM;TRANSPORTES ROTIVALI LTDA;Fernando Henrique De Jesus;Joel Schemuda;10.333.996/0001-00;Agente;Inativo
ALL-7915;VOLKSWAGEN;VOLKSWAGEM;PRI PONTA GROSSA GARAGEM;TRANSPORTES SABATOSKI LTDA;Silvio Alves;Joel Schemuda;06.146.044/0001-00;Agente;Inativo
AZS-0897;VOLKSWAGEN;M BENS/L608 D;PRI PONTA GROSSA GARAGEM;TRANSPORTES SABATOSKI LTDA;Silvio Alves;Joel Schemuda;06.146.044/0001-00;Agente;Inativo
FZO-4G48;VOLKSWAGEN;VW/8.160 DRC 4X2;PRI PONTA GROSSA GARAGEM;TRANSPORTES SABATOSKI LTDA;Silvio Alves;Joel Schemuda;06.146.044/0001-00;Agente;Inativo
ASU-0934;VOLKSWAGEN;VW 13180;PRI PONTA GROSSA GARAGEM;E C ALVES DE OLIVEIRA TRANSPORTES LTDA;Fernando Henrique De Jesus;Joel Schemuda;41.196.096/0001-92;Agente;Inativo
APT-9795;FIAT;FIAT FIORINO FLEX;PRI PONTA GROSSA GARAGEM;EPC-ENC-CIANORTE-PR;Fernando Henrique De Jesus;Joel Schemuda;04.292.481/0001-07;Agente;Ativo
AJJ-5827;M.BENZ;M. BENZ / 710;PRI PONTA GROSSA GARAGEM;EPC-ENC-CIANORTE-PR;Fernando Henrique De Jesus;Joel Schemuda;04.292.481/0001-07;Agente;Inativo
LYO-1H65;M.BENZ/L1113;L1113;PRI PONTA GROSSA GARAGEM;EPC-ENC-CIANORTE-PR;Fernando Henrique De Jesus;Joel Schemuda;04.292.481/0001-07;Agente;Inativo
AQB-6G21;FIAT;FIAT FIORINO FLEX;PRI PONTA GROSSA GARAGEM;EPC-ENC-CIANORTE-PR;Fernando Henrique De Jesus;Joel Schemuda;04.292.481/0001-07;Agente;Ativo
ATZ-8A72;FIAT;FIAT FIORINO FLEX;PRI PONTA GROSSA GARAGEM;EPC-ENC-CIANORTE-PR;Fernando Henrique De Jesus;Joel Schemuda;04.292.481/0001-07;Agente;Ativo
AUA-8H87;FIAT;FIAT FIORINO FLEX;PRI PONTA GROSSA GARAGEM;EPC-ENC-CIANORTE-PR;Fernando Henrique De Jesus;Joel Schemuda;04.292.481/0001-07;Agente;Ativo
AAF-6D80;M.BENZ / L1113;M.BENZ / L1113;PRI PONTA GROSSA GARAGEM;TRANSPORTES ROTIVALI LTDA;Fernando Henrique De Jesus;Joel Schemuda;10.333.996/0001-00;Agente;Inativo
PJS-3E01;FORD;CARGO 816 S;PRI PONTA GROSSA GARAGEM;E C ALVES DE OLIVEIRA TRANSPORTES LTDA;Fernando Henrique De Jesus;Joel Schemuda;41.196.096/0001-92;Agente;Inativo
AQK-7B59;M.BENZ;M.BENZ/AX0R 1933 S;PRI PONTA GROSSA GARAGEM;RENASCER TRANSPORTES LTDA;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;29.153.734/0001-92;Agente;Ativo
MDG-5J77;FORD;FORD/CARGO 1517 F;PRI PONTA GROSSA GARAGEM;ALFREDO ALCIR COELHO;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;27.651.497/0001-64;Agente;Ativo
MIS-7232;M.BENZ;VW/24.250 CNC 6X2;PRI PONTA GROSSA GARAGEM;RENASCER TRANSPORTES LTDA;Jean Carlos Machado / Eduardo Junior Lisboa;Alcides De Batisa;29.153.734/0001-92;Agente;Ativo
